country_code,country,region,population,pop_density,GDP,epi_score,sdg_index
HND,Honduras,Latin America,9.112867,81.44487443,40.0261354,51.51,61.7
HUN,Hungary,Eastern Europe & Eurasia,9.817958,108.4497736,251.868,65.01,78
ISL,Iceland,Europe & North America,0.334252,3.334184539,15.13374348,78.57,79.3
IND,India,Asia,1324.171354,445.3705797,8067.71,30.57,58.1
IDN,Indonesia,Asia,261.115456,144.1376574,2810.79,46.92,62.9
IRN,Iran,Mid East & North Africa,80.277428,49.28745058,1484.95,58.16,64.7
IRQ,Iraq,Mid East & North Africa,37.202572,85.65705471,598.475,43.2,56.6
IRL,Ireland,Europe & North America,4.773095,69.28574539,300.666,78.77,77.9
ISR,Israel,Mid East & North Africa,8.5471,394.9676525,279.355,75.01,70.1
ITA,Italy,Europe & North America,60.60059,206.026348,2103.77,76.96,75.5
JAM,Jamaica,Caribbean,2.881355,266.0530933,23.56838997,58.58,66.6
JPN,Japan,Asia,126.994511,348.350096,4857.83,74.69,80.2
JOR,Jordan,Mid East & North Africa,9.455802,106.5082451,79.33043971,62.2,66
KAZ,Kazakhstan,Eastern Europe & Eurasia,17.797032,6.592225803,417.217,54.56,71.1
KEN,Kenya,Sub-Saharan Africa,48.461567,85.14876305,141.779,47.25,54.9
KIR,Kiribati,Pacific,0.114395,141.2283951,0.223659993,55.26,-9999
KWT,Kuwait,Mid East & North Africa,4.052584,227.4177329,279.068,62.28,62.4
KGZ,Kyrgyzstan,Eastern Europe & Eurasia,6.0827,31.71376434,20.02405521,54.86,70.7
LAO,Laos,Asia,6.758353,29.28229203,38.75592581,42.94,61.4
LVA,Latvia,Eastern Europe & Eurasia,1.960424,31.52820843,46.49657079,66.12,75.2
LBN,Lebanon,Mid East & North Africa,6.006668,587.1620723,79.69578445,61.08,64.9
LSO,Lesotho,Sub-Saharan Africa,2.203821,72.58962451,6.03043638,33.78,53
LBR,Liberia,Sub-Saharan Africa,4.613823,47.9009863,3.476780367,41.62,42.8
LBY,Libya,Mid East & North Africa,6.293253,3.576646737,90.96584509,49.79,-9999
LTU,Lithuania,Eastern Europe & Eurasia,2.872298,45.84673583,80.14887985,69.33,73.6
LUX,Luxembourg,Europe & North America,0.582972,225.0857143,55.24532687,79.12,75
